District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,End of School Year
Reading,2460000,     322.7,100.0,  11.9 to 1,88.2,95.9,96.3,2022
Revere,2480000,     601.7,99.4,  11.9 to 1,75.2,93.9,97.9,2022
Richmond,2490000,      20.0,99.0,   7.9 to 1,88.0,95.0,95.5,2022
Rising Tide Charter Public (District),4830000,      56.7,74.6,  11.6 to 1,65.8,76.7,65.7,2022
River Valley Charter (District),4820000,      22.3,78.5,  12.9 to 1,68.6,77.6,65.2,2022
Rochester,2500000,      41.1,100.0,  12.6 to 1,87.8,97.6,100.0,2022
Rockland,2510000,     171.5,99.4,  12.3 to 1,80.4,93.0,93.7,2022
Rockport,2520000,      90.0,98.9,   8.3 to 1,87.8,96.4,91.6,2022
Rowe,2530000,       8.2,97.6,   7.9 to 1,85.4,100.0,90.0,2022
Roxbury Preparatory Charter (District),4840000,     102.5,64.2,  14.8 to 1,23.7,83.9,41.2,2022
Salem,2580000,     360.3,97.8,  10.2 to 1,76.1,91.8,93.6,2022
Salem Academy Charter (District),4850000,      48.6,70.7,  10.2 to 1,54.2,78.2,54.5,2022
Sandwich,2610000,     207.2,99.5,  11.0 to 1,82.3,91.3,93.1,2022
Saugus,2620000,     153.3,99.3,  15.9 to 1,88.7,94.9,96.9,2022
Savoy,2630000,       5.6,100.0,   9.2 to 1,82.0,96.4,75.0,2022
Scituate,2640000,     233.2,99.7,  11.9 to 1,90.1,97.5,99.2,2022
Seekonk,2650000,     173.1,99.9,  12.0 to 1,93.4,97.1,96.7,2022
Sharon,2660000,     271.3,100.0,  13.0 to 1,88.5,96.0,97.0,2022
Shawsheen Valley Regional Vocational Technical,8710000,     129.6,96.9,  10.2 to 1,88.3,89.1,90.0,2022
Sherborn,2690000,      31.3,100.0,  12.9 to 1,81.5,100.0,100.0,2022
Shrewsbury,2710000,     433.2,99.5,  13.6 to 1,86.4,96.1,95.9,2022
Shutesbury,2720000,      13.3,100.0,   8.7 to 1,92.5,92.5,94.7,2022
Silver Lake,7600000,     135.3,100.0,  12.5 to 1,95.8,94.1,97.9,2022
Sizer School: A North Central Charter Essential (District),4740000,      40.5,88.0,   8.6 to 1,67.7,77.8,77.3,2022
Somerset,2730000,     127.2,99.2,  12.9 to 1,86.6,95.3,100.0,2022
Somerset Berkley Regional School District,7630000,      76.5,100.0,  13.0 to 1,93.5,92.2,98.8,2022
Somerville,2740000,     408.4,98.3,  11.4 to 1,83.1,94.7,92.4,2022
South Hadley,2780000,     148.9,99.3,  11.8 to 1,92.0,93.1,93.9,2022
South Middlesex Regional Vocational Technical,8290000,      87.8,100.0,   9.7 to 1,76.4,79.8,98.9,2022
South Shore Charter Public (District),4880000,      95.5,84.1,  11.0 to 1,78.0,82.0,78.5,2022
South Shore Regional Vocational Technical,8730000,      62.2,96.8,  10.5 to 1,90.4,75.9,89.2,2022
Southampton,2750000,      36.4,97.3,  12.8 to 1,91.8,97.3,97.6,2022
Southborough,2760000,     107.5,99.1,  11.6 to 1,89.7,97.2,95.6,2022
Southbridge,2770000,     159.0,96.9,  11.3 to 1,59.6,81.1,87.6,2022
Southeastern Regional Vocational Technical,8720000,     120.0,94.2,  12.9 to 1,75.8,83.3,92.7,2022
Southern Berkshire,7650000,      75.4,100.0,   8.4 to 1,86.7,92.3,98.7,2022
Southern Worcester County Regional Vocational School District,8760000,     114.0,98.2,  10.3 to 1,84.2,86.8,99.1,2022
Southwick-Tolland-Granville Regional School District,7660000,     124.0,100.0,  11.0 to 1,91.3,98.4,100.0,2022
Spencer-E Brookfield,7670000,     106.4,99.1,  13.1 to 1,87.6,92.5,94.8,2022
Springfield,2810000,"   2,238.2",97.6,  10.6 to 1,71.1,90.4,89.8,2022
Springfield International Charter (District),4410000,      59.1,87.0,  25.7 to 1,63.2,81.4,79.5,2022
Springfield Preparatory Charter School (District),35100000,      34.4,56.4,  12.6 to 1,47.7,97.1,48.6,2022
Stoneham,2840000,     196.4,99.5,  11.4 to 1,78.7,94.4,96.2,2022
Stoughton,2850000,     308.4,100.0,  11.3 to 1,88.6,95.8,97.8,2022
Sturbridge,2870000,      70.0,100.0,  12.1 to 1,91.4,94.3,97.2,2022
Sturgis Charter Public (District),4890000,      90.5,58.2,   9.3 to 1,73.8,84.3,44.2,2022
Sudbury,2880000,     203.8,100.0,  12.4 to 1,90.5,97.8,98.6,2022
Sunderland,2890000,      24.1,95.9,   7.8 to 1,74.3,90.1,93.3,2022
Sutton,2900000,      99.6,100.0,  12.1 to 1,89.5,97.0,96.4,2022
Swampscott,2910000,     189.1,100.0,  10.8 to 1,89.3,96.3,95.6,2022
Swansea,2920000,     152.4,100.0,  13.2 to 1,92.2,96.7,98.1,2022
TEC Connections Academy Commonwealth Virtual School District,39020000,     103.9,100.0,  25.9 to 1,78.8,88.4,94.6,2022
Tantasqua,7700000,     135.3,99.3,  13.2 to 1,90.3,95.6,97.2,2022
Taunton,2930000,     538.6,99.8,  14.4 to 1,87.9,94.8,98.8,2022
Tewksbury,2950000,     255.0,100.0,  12.5 to 1,91.4,96.5,97.7,2022
Tisbury,2960000,      39.5,100.0,   7.2 to 1,90.9,86.3,100.0,2022
Topsfield,2980000,      56.3,100.0,  11.0 to 1,90.5,100.0,100.0,2022
Tri-County Regional Vocational Technical,8780000,      86.9,97.7,  10.8 to 1,89.6,93.2,93.4,2022
Triton,7730000,     197.9,99.5,  11.2 to 1,87.6,91.8,96.7,2022
Truro,3000000,      18.4,89.1,   6.0 to 1,67.4,100.0,90.5,2022
Tyngsborough,3010000,     126.8,100.0,  12.8 to 1,89.4,96.1,96.2,2022
UP Academy Charter School of Boston (District),4800000,      31.5,100.0,  10.1 to 1,44.4,82.5,97.2,2022
UP Academy Charter School of Dorchester (District),35050000,      45.2,97.3,  14.4 to 1,39.8,88.9,86.5,2022
Up-Island Regional,7740000,      47.4,97.8,   8.7 to 1,73.5,83.3,95.0,2022
Upper Cape Cod Regional Vocational Technical,8790000,      76.8,86.3,   9.7 to 1,75.3,77.3,84.1,2022
Uxbridge,3040000,     133.6,100.0,  12.2 to 1,83.4,95.5,97.1,2022
Veritas Preparatory Charter School (District),4980000,      43.2,63.0,   8.8 to 1,34.7,88.4,46.8,2022
Wachusett,7750000,     467.3,99.8,  14.4 to 1,92.5,95.9,99.2,2022
Wakefield,3050000,     273.0,100.0,  12.2 to 1,89.5,95.6,98.2,2022
Wales,3060000,       9.3,89.2,  12.8 to 1,68.6,97.8,92.9,2022
Walpole,3070000,     289.2,100.0,  12.7 to 1,89.2,98.4,98.7,2022
Waltham,3080000,     552.8,99.5,   9.9 to 1,81.8,93.8,97.3,2022
Ware,3090000,      87.9,99.8,  12.8 to 1,86.6,86.4,95.6,2022
Wareham,3100000,     177.0,99.3,  11.5 to 1,86.8,92.8,94.6,2022
Watertown,3140000,     271.4,98.0,   9.5 to 1,84.7,97.7,93.3,2022
Wayland,3150000,     233.8,99.3,  11.6 to 1,92.9,96.4,95.8,2022
Webster,3160000,     142.8,99.6,  11.9 to 1,84.7,92.2,96.7,2022
Wellesley,3170000,     389.7,99.7,  11.0 to 1,90.3,97.5,96.6,2022
Wellfleet,3180000,      12.4,100.0,   9.1 to 1,75.7,100.0,100.0,2022
West Boylston,3220000,      79.7,100.0,  11.0 to 1,85.6,92.5,93.4,2022
West Bridgewater,3230000,      91.8,100.0,  15.0 to 1,84.2,97.8,98.0,2022
West Springfield,3320000,     344.3,99.8,  11.2 to 1,93.4,97.4,95.3,2022
Westborough,3210000,     349.3,99.9,  11.0 to 1,87.6,94.5,97.8,2022
Westfield,3250000,     415.6,98.0,  11.5 to 1,86.0,95.5,95.9,2022
Westford,3260000,     368.4,99.3,  12.7 to 1,90.6,97.6,96.4,2022
Westhampton,3270000,      16.4,100.0,   6.3 to 1,87.8,93.9,94.4,2022
Weston,3300000,     167.3,98.6,  11.6 to 1,90.2,96.4,94.2,2022
Westport,3310000,     115.3,100.0,  12.4 to 1,92.6,92.6,95.2,2022
Westwood,3350000,     235.3,100.0,  12.3 to 1,84.1,94.9,97.6,2022
Weymouth,3360000,     457.8,99.8,  12.1 to 1,86.0,95.0,98.5,2022
Whately,3370000,      12.6,100.0,   9.6 to 1,92.0,100.0,100.0,2022
Whitman-Hanson,7800000,     249.1,100.0,  14.3 to 1,83.9,96.2,,2022
Whittier Regional Vocational Technical,8850000,     114.7,98.3,  11.2 to 1,86.1,85.2,94.4,2022
Williamsburg,3400000,      16.3,100.0,   8.5 to 1,80.3,93.8,90.0,2022
Wilmington,3420000,     265.1,98.9,  10.6 to 1,85.4,96.7,95.4,2022
Winchendon,3430000,      84.8,100.0,  14.2 to 1,85.6,88.3,97.8,2022
Winchester,3440000,     355.9,100.0,  12.3 to 1,85.1,94.9,98.2,2022
Winthrop,3460000,     154.9,100.0,  12.2 to 1,78.0,91.0,96.9,2022
Woburn,3470000,     361.1,99.2,  11.9 to 1,84.6,97.0,98.1,2022
Worcester,3480000,"   1,950.9",97.2,  12.2 to 1,79.9,91.8,92.5,2022
Worthington,3490000,       6.4,100.0,  10.5 to 1,68.8,81.3,100.0,2022
Wrentham,3500000,      81.5,100.0,  11.3 to 1,86.0,97.5,100.0,2022
State Totals,0,"  76,328.8",97.8,  11.9 to 1,82.6,93.5,93.4,2022
Abby Kelley Foster Charter Public (District),4450000,     117.2,93.1,  12.2 to 1,74.5,88.2,86.1,2020
Abington,10000,     126.2,99.7,  17.0 to 1,83.9,94.1,94.9,2020
Academy Of the Pacific Rim Charter Public (District),4120000,      46.8,70.1,  11.3 to 1,42.8,83.8,52.9,2020
Acton-Boxborough,6000000,     383.6,100.0,  14.1 to 1,88.5,96.4,96.2,2020
Acushnet,30000,      70.5,100.0,  14.3 to 1,84.4,92.9,95.9,2020
Advanced Math and Science Academy Charter (District),4300000,      80.0,89.2,  12.0 to 1,80.4,73.2,78.8,2020
Agawam,50000,     307.1,100.0,  12.0 to 1,93.3,97.3,95.9,2020
Alma del Mar Charter School (District),4090000,      52.0,57.7,  12.6 to 1,25.0,86.5,25.0,2020
Amesbury,70000,     166.2,98.8,  12.1 to 1,88.5,93.3,93.6,2020
Amherst,80000,     120.3,97.5,   9.1 to 1,85.6,96.7,98.4,2020
Amherst-Pelham,6050000,     112.5,98.2,  12.0 to 1,90.2,95.9,90.0,2020
Andover,90000,     479.3,100.0,  12.2 to 1,93.4,97.6,97.1,2020
Argosy Collegiate Charter School (District),35090000,      39.3,63.6,  13.4 to 1,20.3,84.7,39.2,2020
Arlington,100000,     438.6,99.4,  13.8 to 1,79.9,92.5,96.0,2020
Ashburnham-Westminster,6100000,     162.6,98.8,  14.5 to 1,83.7,96.2,92.2,2020
Ashland,140000,     202.4,100.0,  14.1 to 1,85.0,97.5,96.1,2020
Assabet Valley Regional Vocational Technical,8010000,     110.5,96.4,  10.3 to 1,91.0,93.7,91.1,2020
Athol-Royalston,6150000,     111.4,97.3,  13.6 to 1,75.8,88.4,87.8,2020
Atlantis Charter (District),4910000,     103.6,70.1,  12.6 to 1,46.9,84.6,62.3,2020
Attleboro,160000,     383.9,99.2,  15.6 to 1,87.4,94.7,91.0,2020
Auburn,170000,     185.7,100.0,  14.2 to 1,91.1,97.0,93.5,2020
Avon,180000,      68.2,100.0,  10.6 to 1,92.7,95.6,95.7,2020
Ayer Shirley School District,6160000,     133.2,99.1,  12.6 to 1,82.2,93.4,90.4,2020
Barnstable,200000,     392.6,99.4,  12.8 to 1,85.3,92.3,96.4,2020
Baystate Academy Charter Public School (District),35020000,      53.8,68.4,   8.6 to 1,46.7,70.4,47.7,2020
Bedford,230000,     237.5,98.5,  11.3 to 1,86.8,96.0,96.1,2020
Belchertown,240000,     168.8,99.2,  13.3 to 1,93.7,100.0,93.8,2020
Bellingham,250000,     161.8,99.7,  13.2 to 1,86.8,95.1,91.5,2020
Belmont,260000,     285.0,100.0,  16.5 to 1,87.2,96.8,98.4,2020
Benjamin Banneker Charter Public (District),4200000,      19.0,94.7,  17.7 to 1,73.7,94.7,94.7,2020
Benjamin Franklin Classical Charter Public (District),4470000,      56.0,85.7,  12.6 to 1,51.8,91.1,78.6,2020
Bentley Academy Charter School (District),35110000,      24.7,100.0,  13.5 to 1,54.7,75.0,100.0,2020
Berkley,270000,      62.8,100.0,  14.6 to 1,87.3,96.8,98.4,2020
Berkshire Arts and Technology Charter Public (District),4140000,      36.8,51.9,  10.1 to 1,55.2,84.4,26.8,2020
Berkshire Hills,6180000,     113.8,99.1,  10.4 to 1,84.6,91.3,91.3,2020
Berlin-Boylston,6200000,      89.0,100.0,  11.8 to 1,86.5,92.1,95.6,2020
Beverly,300000,     335.8,99.2,  14.0 to 1,84.4,94.9,91.5,2020
Billerica,310000,     370.5,100.0,  12.9 to 1,89.1,94.5,97.1,2020
Blackstone Valley Regional Vocational Technical,8050000,     100.3,98.0,  12.2 to 1,80.1,79.1,89.4,2020
Blackstone-Millville,6220000,     116.5,100.0,  14.1 to 1,84.3,92.2,91.9,2020
Blue Hills Regional Vocational Technical,8060000,      81.0,100.0,  10.6 to 1,86.4,83.9,93.8,2020
Boston,350000,"   4,406.4",94.3,  11.5 to 1,80.3,92.6,83.4,2020
Boston Collegiate Charter (District),4490000,      72.8,78.0,   9.5 to 1,53.2,81.0,61.3,2020
Boston Day and Evening Academy Charter (District),4240000,      26.4,90.9,  15.7 to 1,87.1,96.2,56.7,2020
Boston Green Academy Horace Mann Charter School (District),4110000,      39.0,86.5,  12.8 to 1,68.6,94.9,77.3,2020
Boston Preparatory Charter Public (District),4160000,      55.6,86.0,  10.5 to 1,36.5,78.8,61.2,2020
Boston Renaissance Charter Public (District),4810000,      81.5,97.5,  11.4 to 1,49.7,86.5,90.0,2020
Bourne,360000,     142.4,99.3,  13.4 to 1,89.5,93.7,93.1,2020
Boxford,380000,      65.0,100.0,  11.5 to 1,77.2,96.0,100.0,2020
Braintree,400000,     424.0,100.0,  13.7 to 1,90.1,96.3,97.7,2020
Brewster,410000,      43.9,100.0,  10.7 to 1,85.1,88.8,95.8,2020
Bridge Boston Charter School (District),4170000,      31.0,58.1,  10.8 to 1,45.2,93.5,55.6,2020
Bridgewater-Raynham,6250000,     336.7,100.0,  16.0 to 1,90.5,97.3,96.5,2020
Brimfield,430000,      25.3,100.0,  11.8 to 1,84.2,96.0,96.3,2020
Bristol County Agricultural,9100000,      35.2,97.2,  12.8 to 1,88.6,80.1,77.8,2020
Bristol-Plymouth Regional Vocational Technical,8100000,      98.8,99.0,  13.2 to 1,90.9,94.9,94.1,2020
Brockton,440000,"   1,025.7",98.9,  15.6 to 1,89.6,93.9,92.3,2020
Brooke Charter School (District),4280000,     166.7,68.6,  11.8 to 1,47.5,88.5,32.0,2020
Brookfield,450000,      22.6,100.0,  13.6 to 1,95.6,100.0,96.0,2020
Brookline,460000,     664.7,99.2,  11.7 to 1,84.5,94.8,93.6,2020
Burlington,480000,     311.5,99.5,  11.3 to 1,92.3,97.4,95.2,2020
Cambridge,490000,     724.2,97.7,   9.8 to 1,81.0,90.7,91.1,2020
Canton,500000,     246.4,98.8,  13.4 to 1,92.2,94.5,95.4,2020
Cape Cod Lighthouse Charter (District),4320000,      22.6,87.1,  10.6 to 1,96.0,74.8,48.6,2020
Cape Cod Regional Vocational Technical,8150000,      58.6,98.3,  10.5 to 1,81.2,76.8,88.7,2020
Carlisle,510000,      55.2,100.0,  10.8 to 1,94.6,96.7,93.3,2020
Carver,520000,     127.1,99.2,  12.4 to 1,86.6,94.4,94.6,2020
Central Berkshire,6350000,     122.4,100.0,  12.8 to 1,91.7,95.1,96.8,2020
Chelmsford,560000,     369.5,99.5,  13.6 to 1,88.0,96.3,92.8,2020
Chelsea,570000,     421.0,96.7,  14.9 to 1,64.0,87.6,92.1,2020
Chesterfield-Goshen,6320000,      14.0,100.0,   9.1 to 1,92.9,100.0,93.3,2020
Chicopee,610000,     581.7,98.1,  12.5 to 1,88.7,92.8,92.6,2020
Christa McAuliffe Charter Public (District),4180000,      41.3,85.5,   9.7 to 1,62.4,86.7,60.9,2020
City on a Hill Charter Public School Circuit Street (District),4370000,      12.0,64.8,  19.0 to 1,8.3,79.9,45.1,2020
City on a Hill Charter Public School Dudley Square (District),35040000,       9.6,70.1,  20.2 to 1,12.7,90.4,52.4,2020
City on a Hill Charter Public School New Bedford (District),35070000,      10.6,77.0,  14.0 to 1,45.7,74.9,22.7,2020
Clarksburg,630000,      14.3,97.2,  13.8 to 1,92.3,100.0,88.9,2020
Clinton,640000,     145.7,98.3,  13.0 to 1,86.2,94.9,93.4,2020
Codman Academy Charter Public (District),4380000,      43.8,62.3,   7.7 to 1,35.3,81.7,38.2,2020
Cohasset,650000,     110.4,99.1,  13.6 to 1,90.4,95.5,94.1,2020
Collegiate Charter School of Lowell (District),35030000,      48.6,73.0,  19.2 to 1,35.0,87.7,58.5,2020
Community Charter School of Cambridge (District),4360000,      35.1,80.1,   9.3 to 1,51.6,80.1,45.2,2020
Community Day Charter Public School - Gateway (District),4260000,      44.0,70.5,   9.1 to 1,31.8,81.8,54.5,2020
Community Day Charter Public School - Prospect (District),4400000,      38.8,79.4,  10.3 to 1,43.3,82.0,65.0,2020
Community Day Charter Public School - R. Kingman Webster (District),4310000,      41.0,73.2,   9.7 to 1,31.7,87.8,52.4,2020
Concord,670000,     174.1,100.0,  11.9 to 1,87.3,98.0,98.4,2020
Concord-Carlisle,6400000,     103.5,100.0,  12.4 to 1,98.5,94.2,92.4,2020
Conservatory Lab Charter (District),4390000,      26.0,75.0,  17.4 to 1,38.5,96.2,50.0,2020
Conway,680000,      12.6,100.0,  10.6 to 1,97.6,100.0,100.0,2020
Danvers,710000,     265.4,100.0,  12.9 to 1,91.1,95.7,92.3,2020
Dartmouth,720000,     273.5,99.3,  13.1 to 1,92.8,96.9,92.6,2020
Dedham,730000,     235.9,100.0,  11.6 to 1,88.6,95.8,95.5,2020
Deerfield,740000,      37.2,97.3,  10.4 to 1,87.9,92.4,95.0,2020
Dennis-Yarmouth,6450000,     271.0,99.6,  10.7 to 1,91.4,96.0,97.8,2020
Dighton-Rehoboth,6500000,     219.7,99.5,  13.0 to 1,91.9,96.8,94.8,2020
Douglas,770000,      99.9,100.0,  12.8 to 1,79.6,89.0,97.1,2020
Dover,780000,      40.4,97.5,  12.1 to 1,90.6,92.6,100.0,2020
Dover-Sherborn,6550000,     103.5,99.5,  11.6 to 1,91.5,96.3,94.7,2020
Dracut,790000,     224.1,99.1,  16.4 to 1,77.5,90.9,97.4,2020
Dudley Street Neighborhood Charter School (District),4070000,      21.0,95.2,  12.9 to 1,71.4,95.2,95.2,2020
Dudley-Charlton Reg,6580000,     282.0,100.0,  13.1 to 1,88.8,94.5,94.6,2020
Duxbury,820000,     221.3,99.7,  13.4 to 1,91.6,97.3,94.6,2020
East Bridgewater,830000,     153.5,100.0,  14.4 to 1,83.1,94.8,97.5,2020
East Longmeadow,870000,     209.0,99.5,  12.4 to 1,94.6,98.1,96.8,2020
Eastham,850000,      20.8,100.0,   9.3 to 1,95.2,100.0,100.0,2020
Easthampton,860000,     116.6,100.0,  13.2 to 1,84.9,93.5,96.6,2020
Easton,880000,     257.6,100.0,  13.9 to 1,93.6,97.4,97.0,2020
Edgartown,890000,      43.7,98.9,   9.0 to 1,79.8,92.9,96.3,2020
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,      36.8,91.9,  10.5 to 1,76.6,91.6,78.0,2020
Erving,910000,      19.2,97.4,   6.9 to 1,92.2,97.4,90.5,2020
Essex North Shore Agricultural and Technical School District,8170000,     124.8,95.3,  12.0 to 1,76.2,79.4,86.5,2020
Everett,930000,     550.8,99.3,  12.8 to 1,78.6,90.0,96.3,2020
Excel Academy Charter (District),4100000,     118.0,78.3,  11.6 to 1,43.0,82.1,39.9,2020
Fairhaven,940000,     146.0,100.0,  14.0 to 1,92.2,99.0,98.0,2020
Fall River,950000,     707.9,94.6,  14.4 to 1,74.1,82.2,88.9,2020
Falmouth,960000,     288.5,99.0,  11.3 to 1,88.2,94.7,97.7,2020
Farmington River Reg,6620000,      12.2,100.0,   8.6 to 1,91.8,91.8,100.0,2020
Fitchburg,970000,     380.8,97.9,  14.0 to 1,80.7,91.9,94.3,2020
Florida,980000,      10.8,81.5,   8.8 to 1,90.7,96.3,76.9,2020
Four Rivers Charter Public (District),4130000,      20.8,59.1,  10.4 to 1,83.1,95.2,39.4,2020
Foxborough,990000,     204.9,100.0,  12.5 to 1,90.0,97.2,92.6,2020
Foxborough Regional Charter (District),4460000,     134.5,86.3,  12.3 to 1,58.7,77.3,70.3,2020
Framingham,1000000,     703.2,96.2,  12.9 to 1,76.1,93.5,87.9,2020
Francis W. Parker Charter Essential (District),4780000,      45.0,68.0,   8.8 to 1,57.7,97.8,59.2,2020
Franklin,1010000,     394.5,99.6,  12.8 to 1,88.4,97.2,96.4,2020
Franklin County Regional Vocational Technical,8180000,      51.6,95.2,   9.8 to 1,84.3,87.2,83.6,2020
Freetown-Lakeville,6650000,     199.9,100.0,  14.2 to 1,86.6,94.6,97.5,2020
Frontier,6700000,      52.3,99.2,  12.5 to 1,89.4,90.4,76.7,2020
Gardner,1030000,     173.6,98.5,  13.5 to 1,81.3,86.2,93.0,2020
Gateway,6720000,      81.3,97.5,  10.2 to 1,89.5,97.5,85.1,2020
Georgetown,1050000,     107.3,99.1,  12.7 to 1,84.5,94.4,90.9,2020
Gill-Montague,6740000,      85.9,100.0,  10.8 to 1,88.1,92.3,94.2,2020
Global Learning Charter Public (District),4960000,      45.5,91.2,  11.1 to 1,61.5,81.8,81.6,2020
Gloucester,1070000,     252.6,98.4,  11.3 to 1,84.3,95.6,95.7,2020
Gosnold,1090000,       0.0,0.0,,,,,2020
Grafton,1100000,     237.9,99.5,  13.5 to 1,86.9,95.0,96.6,2020
Granby,1110000,      60.4,100.0,  12.5 to 1,90.0,98.3,90.6,2020
Greater Fall River Regional Vocational Technical,8210000,     128.0,98.0,  11.2 to 1,89.8,87.1,89.7,2020
Greater Lawrence Regional Vocational Technical,8230000,     151.4,92.1,  10.5 to 1,78.5,81.8,87.0,2020
Greater Lowell Regional Vocational Technical,8280000,     188.0,98.9,  12.1 to 1,91.0,86.7,96.8,2020
Greater New Bedford Regional Vocational Technical,8250000,     173.9,99.4,  12.2 to 1,95.4,92.8,90.8,2020
Greenfield,1140000,     153.9,97.9,  11.2 to 1,82.4,91.6,92.3,2020
Greenfield Commonwealth Virtual District,39010000,      42.0,100.0,  15.8 to 1,71.2,86.9,89.1,2020
Groton-Dunstable,6730000,     184.3,100.0,  12.8 to 1,84.5,96.5,95.8,2020
Hadley,1170000,      50.0,100.0,  10.6 to 1,80.0,84.0,94.1,2020
Halifax,1180000,      35.0,100.0,  16.7 to 1,94.3,100.0,100.0,2020
Hamilton-Wenham,6750000,     146.6,100.0,  12.5 to 1,88.6,97.5,93.8,2020
Hampden Charter School of Science East (District),4990000,      43.5,72.4,  12.0 to 1,67.8,72.4,65.2,2020
Hampden Charter School of Science West (District),35160000,      26.2,64.9,  10.0 to 1,26.7,59.9,67.9,2020
Hampden-Wilbraham,6800000,     211.6,100.0,  14.2 to 1,88.8,96.7,99.1,2020
Hampshire,6830000,      74.6,97.3,   9.8 to 1,89.3,91.7,87.0,2020
Hancock,1210000,       9.0,88.9,   5.2 to 1,88.9,77.8,66.7,2020
Hanover,1220000,     194.3,99.7,  13.6 to 1,88.1,96.9,93.0,2020
Harvard,1250000,      92.0,100.0,  11.4 to 1,97.8,96.7,94.8,2020
Hatfield,1270000,      41.7,96.6,  10.3 to 1,84.2,92.6,91.3,2020
Haverhill,1280000,     598.9,98.7,  13.5 to 1,80.4,94.1,96.1,2020
Hawlemont,6850000,      12.0,100.0,  11.9 to 1,83.3,84.2,84.6,2020
Helen Y. Davis Leadership Academy Charter Public (District),4190000,      17.0,35.3,  12.2 to 1,23.5,88.2,28.6,2020
Hill View Montessori Charter Public (District),4550000,      21.0,66.7,  14.6 to 1,52.4,85.7,68.2,2020
Hilltown Cooperative Charter Public (District),4500000,      19.7,87.6,  11.1 to 1,77.9,100.0,54.2,2020
Hingham,1310000,     299.8,99.7,  14.2 to 1,92.3,97.5,96.8,2020
Holbrook,1330000,      92.9,98.9,  14.1 to 1,86.1,93.7,94.8,2020
Holland,1350000,      16.4,100.0,  14.1 to 1,100.0,100.0,100.0,2020
Holliston,1360000,     212.5,99.4,  13.7 to 1,88.0,94.7,90.9,2020
Holyoke,1370000,     395.6,85.5,  13.5 to 1,58.3,75.5,75.2,2020
Holyoke Community Charter (District),4530000,      43.0,72.1,  16.3 to 1,62.8,90.7,48.8,2020
Hoosac Valley Regional,6030000,      86.0,95.4,  12.8 to 1,86.1,94.2,83.9,2020
Hopedale,1380000,      97.2,100.0,  11.1 to 1,78.5,90.1,94.1,2020
Hopkinton,1390000,     268.1,99.4,  14.4 to 1,92.6,97.0,94.9,2020
Hudson,1410000,     229.0,97.8,  11.2 to 1,90.1,95.9,93.5,2020
Hull,1420000,      82.1,100.0,  10.4 to 1,85.6,91.5,97.6,2020
Innovation Academy Charter (District),4350000,      69.8,91.1,  11.4 to 1,73.1,79.7,75.3,2020
Ipswich,1440000,     156.1,100.0,  10.8 to 1,92.2,95.5,92.0,2020
KIPP Academy Boston Charter School (District),4630000,      40.0,73.8,  14.5 to 1,41.3,72.5,34.9,2020
KIPP Academy Lynn Charter (District),4290000,     106.9,66.4,  15.0 to 1,32.9,78.5,36.8,2020
King Philip,6900000,     135.8,100.0,  14.6 to 1,80.2,92.3,94.9,2020
Kingston,1450000,      68.2,100.0,  15.6 to 1,92.7,100.0,100.0,2020
Lawrence,1490000,"   1,118.8",93.5,  12.1 to 1,66.1,82.8,83.3,2020
Lawrence Family Development Charter (District),4540000,      63.0,92.1,  12.4 to 1,57.1,100.0,75.4,2020
Lee,1500000,      71.2,100.0,  10.0 to 1,86.8,93.0,84.0,2020
Leicester,1510000,     105.1,98.1,  14.2 to 1,90.5,97.3,90.3,2020
Lenox,1520000,      79.5,100.0,   9.8 to 1,93.7,96.2,82.9,2020
Leominster,1530000,     438.6,98.4,  13.9 to 1,85.1,92.3,80.9,2020
Leverett,1540000,      16.9,100.0,   8.4 to 1,94.4,94.1,100.0,2020
Lexington,1550000,     616.2,99.8,  11.7 to 1,85.8,94.7,96.1,2020
Libertas Academy Charter School (District),35140000,      25.0,52.7,  10.7 to 1,6.2,73.5,46.7,2020
Lincoln,1570000,     120.5,98.7,   9.2 to 1,85.7,98.4,93.2,2020
Lincoln-Sudbury,6950000,     129.2,99.8,  11.7 to 1,96.7,95.2,92.6,2020
Littleton,1580000,     121.2,100.0,  13.7 to 1,81.2,92.6,96.9,2020
Longmeadow,1590000,     243.8,100.0,  11.7 to 1,92.0,98.4,96.9,2020
Lowell,1600000,"   1,079.7",97.5,  13.4 to 1,85.7,91.5,86.8,2020
Lowell Community Charter Public (District),4560000,      66.5,100.0,  12.4 to 1,57.9,88.0,98.5,2020
Lowell Middlesex Academy Charter (District),4580000,       8.0,87.5,  10.6 to 1,100.0,50.0,27.3,2020
Ludlow,1610000,     231.2,99.6,  11.0 to 1,93.5,96.1,95.8,2020
Lunenburg,1620000,     107.4,100.0,  15.3 to 1,91.8,99.1,89.7,2020
Lynn,1630000,"   1,172.9",95.6,  13.7 to 1,79.3,89.4,95.3,2020
Lynnfield,1640000,     162.6,99.4,  13.5 to 1,88.2,99.2,97.7,2020
MATCH Charter Public School (District),4690000,     113.9,75.0,  10.7 to 1,42.9,87.2,48.1,2020
Ma Academy for Math and Science,4680000,       6.0,100.0,  16.5 to 1,83.3,83.3,83.3,2020
